,Cluster1,Cluster2,Cluster3,Cluster4
0,hyp:tok:river,hyp:tok:river,hyp:tok:exercising,pre:tok:parade
1,pre:tok:guitars,pre:tok:tray,pre:tok:skates,hyp:tok:as
2,pre:tok:him,pre:tok:play,pre:tok:staring,pre:tok:includes
3,pre:tok:rest,pre:tok:clothes,hyp:tok:yellow,pre:tok:him
4,pre:tok:hot,pre:tok:too,pre:tok:rowing,hyp:tok:sits
5,pre:tok:play,hyp:tok:religious,pre:tok:learning,hyp:tok:carnival
6,hyp:tok:dance,hyp:tok:face,hyp:tok:bows,pre:tok:wet
7,pre:tok:chef,pre:tok:hug,pre:tok:mural,pre:tok:males
8,hyp:tok:beer,pre:tok:live,hyp:tok:denim,pre:tok:pier
9,pre:tok:t,hyp:tok:brother,pre:tok:napping,pre:tok:play
10,pre:tok:too,pre:tok:sits,pre:tok:cup,hyp:tok:vegetable
11,hyp:tok:religious,hyp:tok:tips,hyp:tok:clear,hyp:tok:lane
12,hyp:tok:face,pre:tok:flags,pre:tok:wash,pre:tok:musicians
13,hyp:tok:step,pre:tok:soda,pre:tok:casual,hyp:tok:boat
14,hyp:tok:truck,hyp:tok:lumberjack,hyp:tok:cigarette,pre:tok:cup
15,pre:tok:cute,hyp:tok:protesting,pre:tok:flowers,hyp:tok:without
16,hyp:tok:fan,hyp:tok:curly,hyp:tok:orchestra,pre:tok:birthday
17,hyp:tok:cows,hyp:tok:east,pre:tok:making,hyp:tok:pile
18,pre:tok:forehead,hyp:tok:5,hyp:tok:drinking,hyp:tok:orchestra
19,pre:tok:book,hyp:tok:bikini,hyp:tok:walked,pre:tok:few
20,hyp:tok:colorful,pre:tok:courtyard,hyp:tok:it,hyp:tok:stopped
21,pre:tok:singer,pre:tok:enjoys,pre:tok:kite,hyp:tok:other
22,pre:tok:television,pre:tok:prepare,pre:tok:practicing,hyp:tok:theater
23,pre:tok:pose,hyp:tok:sidewalk,hyp:tok:hug,hyp:tok:played
24,pre:tok:placing,hyp:tok:down,hyp:tok:yarn,pre:tok:kite
25,hyp:tok:buildings,pre:tok:open,hyp:tok:fan,hyp:tok:guitars
26,hyp:tok:too,pre:tok:protecting,hyp:tok:half,hyp:tok:break
27,hyp:tok:festival,hyp:tok:paved,pre:tok:live,hyp:tok:classroom
28,pre:tok:us,pre:tok:shaving,hyp:tok:cows,hyp:tok:event
29,pre:tok:prepare,hyp:tok:tools,hyp:tok:skateboarding,hyp:tok:yarn
