,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:waves,hyp:tok:sleeps,hyp:tok:lighting,hyp:tok:cafeteria
1,hyp:tok:cafeteria,hyp:tok:coffee,hyp:tok:chinese,hyp:tok:steps
2,hyp:tok:tv,hyp:tok:left,hyp:tok:magazine,pre:tok:nutcracker
3,pre:tok:climbs,pre:tok:walks,hyp:tok:bus,hyp:tok:curtain
4,hyp:tok:bowling,hyp:tok:funny,pre:tok:cooks,hyp:tok:uniformed
5,pre:tok:headscarf,hyp:tok:brother,hyp:tok:riding,pre:tok:cooks
6,hyp:tok:tiles,pre:tok:wizard,hyp:tok:pots,hyp:tok:couple
7,hyp:tok:puzzle,hyp:tok:backyard,pre:tok:beach,hyp:tok:vegetable
8,hyp:tok:lying,pre:tok:outside,hyp:tok:nothing,pre:tok:wizard
9,pre:tok:telling,pre:tok:three,pre:tok:practicing,pre:tok:poker
10,pre:tok:three,pre:tok:blond,hyp:tok:brown,hyp:tok:soccer
11,hyp:tok:guitarist,hyp:tok:blonde,pre:tok:hit,hyp:tok:last
12,pre:tok:airport,pre:tok:sister,hyp:tok:pipes,hyp:tok:sad
13,hyp:tok:staircase,pre:tok:creating,pre:tok:sandwich,hyp:tok:rides
14,pre:tok:leaf,pre:tok:traveling,pre:tok:learning,hyp:tok:people
15,pre:tok:sister,hyp:tok:chases,hyp:tok:clock,hyp:tok:nine
16,pre:tok:doctors,pre:tok:vacation,hyp:tok:shirt,pre:tok:boy
17,pre:tok:church,hyp:tok:pets,hyp:tok:present,hyp:tok:free
18,pre:tok:hairnet,pre:tok:puddle,hyp:tok:chatting,hyp:tok:laying
19,pre:tok:placing,hyp:tok:camouflage,hyp:tok:from,hyp:tok:balding
20,hyp:tok:wild,hyp:tok:though,hyp:tok:phone,pre:tok:yarn
21,pre:tok:race,pre:tok:excited,hyp:tok:water,hyp:tok:has
22,pre:tok:talks,hyp:tok:runs,pre:tok:platform,hyp:tok:international
23,hyp:tok:fell,hyp:tok:blouse,hyp:tok:street,pre:tok:conversation
24,pre:tok:ceremony,hyp:tok:desert,pre:tok:large,hyp:tok:shoveling
25,hyp:tok:produce,pre:tok:form,hyp:tok:finishing,hyp:tok:shirt
26,hyp:tok:smiling,pre:tok:ground,pre:tok:bench,hyp:tok:vacation
27,hyp:tok:sound,pre:tok:shadow,pre:tok:groom,hyp:tok:boy
28,pre:tok:dogs,pre:tok:closed,pre:tok:clock,pre:tok:shoot
29,pre:tok:railing,hyp:tok:piano,hyp:tok:summer,hyp:tok:surfboard
30,hyp:tok:desks,hyp:tok:guitar,hyp:tok:!,pre:tok:shirt
31,pre:tok:beach,hyp:tok:microscope,hyp:tok:humans,pre:tok:park
32,pre:tok:working,hyp:tok:face,pre:tok:hiding,pre:tok:moon
33,pre:tok:chat,pre:tok:park,hyp:tok:cars,hyp:tok:humans
34,pre:tok:mirror,hyp:tok:dancing,hyp:tok:6,pre:tok:front
35,hyp:tok:blouse,hyp:tok:anything,pre:tok:looking,hyp:tok:groups
36,hyp:tok:low,hyp:tok:tag,hyp:tok:mask,hyp:tok:moving
37,pre:tok:one,pre:tok:flowered,hyp:tok:moving,hyp:tok:inflatable
38,hyp:tok:has,hyp:tok:hallway,hyp:tok:bath,pre:tok:-
39,pre:tok:suit,pre:tok:fly,pre:tok:tunnel,pre:tok:television
40,pre:tok:rescue,hyp:tok:curly,hyp:tok:orchestra,pre:tok:mall
41,hyp:tok:mouths,pre:tok:wheeler,hyp:tok:landing,hyp:tok:desk
42,hyp:tok:microphone,hyp:tok:turns,hyp:tok:feet,pre:tok:daughters
43,pre:tok:jumped,pre:tok:poster,hyp:tok:rollerblading,hyp:tok:dogs
44,pre:tok:sunset,pre:tok:crafts,hyp:tok:trunks,hyp:tok:ladies
45,hyp:tok:handing,hyp:tok:instrument,hyp:tok:vehicle,hyp:tok:marathon
46,pre:tok:easter,hyp:tok:boards,hyp:tok:short,pre:tok:walking
47,hyp:tok:dancing,hyp:tok:guitars,hyp:tok:crossing,hyp:tok:her
48,pre:tok:whose,pre:tok:learning,hyp:tok:hug,pre:tok:cup
49,hyp:tok:television,hyp:tok:dinner,hyp:tok:course,pre:tok:while
50,pre:tok:heading,hyp:tok:lead,hyp:tok:trying,pre:tok:event
51,hyp:tok:newspapers,hyp:tok:watched,hyp:tok:drives,hyp:tok:on
52,hyp:tok:suit,hyp:tok:unicycle,hyp:tok:it,
53,hyp:tok:child,pre:tok:shark,pre:tok:vehicles,
54,pre:tok:produce,pre:tok:ballet,pre:tok:barn,
55,hyp:tok:uses,pre:tok:tire,hyp:tok:train,
56,hyp:tok:sandwich,pre:tok:playing,hyp:tok:hate,
57,hyp:tok:new,pre:tok:winter,hyp:tok:ocean,
58,hyp:tok:wheeled,hyp:tok:owner,hyp:tok:bikes,
59,hyp:tok:sings,hyp:tok:only,hyp:tok:denim,
60,pre:tok:body,pre:tok:from,hyp:tok:exercising,
61,hyp:tok:stripe,pre:tok:holding,hyp:tok:plays,
62,pre:tok:together,hyp:tok:crane,,
63,pre:tok:button,pre:tok:lost,,
64,hyp:tok:waiting,hyp:tok:tricks,,
65,hyp:tok:beard,hyp:tok:packages,,
66,hyp:tok:building,pre:tok:sits,,
67,pre:tok:cook,hyp:tok:ocean,,
68,pre:tok:near,pre:tok:belt,,
69,hyp:tok:year,pre:tok:flags,,
70,pre:tok:down,hyp:tok:sandwiches,,
71,hyp:tok:subway,hyp:tok:singing,,
72,hyp:tok:older,pre:tok:thinking,,
73,hyp:tok:countryside,pre:tok:as,,
74,pre:tok:up,hyp:tok:duck,,
75,hyp:tok:sister,pre:tok:river,,
76,pre:tok:got,hyp:tok:backpack,,
77,hyp:tok:room,hyp:tok:cafe,,
78,pre:tok:boards,hyp:tok:multiple,,
79,pre:tok:bike,pre:tok:red,,
80,pre:tok:gesturing,pre:tok:pants,,
81,pre:tok:lemons,pre:tok:passed,,
82,hyp:tok:barely,hyp:tok:attempt,,
83,hyp:tok:giant,hyp:tok:pizza,,
84,hyp:tok:suspended,hyp:tok:he,,
85,hyp:tok:drums,pre:tok:shade,,
86,pre:tok:handling,hyp:tok:plays,,
87,pre:tok:from,,,
88,pre:tok:television,,,
89,hyp:tok:through,,,
90,pre:tok:stand,,,
91,hyp:tok:chicken,,,
92,hyp:tok:tourists,,,
93,hyp:tok:crime,,,
94,hyp:tok:cows,,,
95,hyp:tok:cross,,,
96,hyp:tok:girlfriend,,,
97,hyp:tok:spring,,,
98,pre:tok:picking,,,
99,hyp:tok:ground,,,
100,pre:tok:behind,,,
101,hyp:tok:wares,,,
102,hyp:tok:discussing,,,
103,pre:tok:out,,,
104,pre:tok:as,,,
105,pre:tok:singer,,,
106,hyp:tok:black,,,
107,pre:tok:four,,,
108,hyp:tok:skate,,,
109,hyp:tok:yellow,,,
110,hyp:tok:snowy,,,
111,pre:tok:younger,,,
112,pre:tok:their,,,
113,hyp:tok:various,,,
114,hyp:tok:chair,,,
115,pre:tok:i,,,
116,hyp:tok:dry,,,
117,pre:tok:different,,,
118,hyp:tok:pizza,,,
119,hyp:tok:while,,,
120,pre:tok:fun,,,
121,hyp:tok:rowboat,,,
122,hyp:tok:desk,,,
123,hyp:tok:laundromat,,,
124,pre:tok:lake,,,
125,hyp:tok:mid,,,
126,hyp:tok:chewing,,,
127,pre:tok:skateboarder,,,
128,hyp:tok:bar,,,
129,hyp:tok:about,,,
130,hyp:tok:edge,,,
131,hyp:tok:hydrant,,,
