,lost_concepts
0,pre:tok:use
1,pre:tok:fast
2,pre:tok:girls
3,pre:tok:shaving
4,hyp:tok:rope
5,pre:tok:tank
6,hyp:tok:talks
7,hyp:tok:had
8,hyp:tok:drives
9,pre:tok:hammer
10,hyp:tok:crib
11,hyp:tok:whose
12,hyp:tok:shoveling
13,pre:tok:road
14,pre:tok:guitar
15,pre:tok:chinese
16,hyp:tok:goal
17,hyp:tok:may
18,pre:tok:bus
19,hyp:tok:number
20,hyp:tok:speed
21,pre:tok:camping
22,pre:tok:course
23,pre:tok:cafe
24,pre:tok:all
25,hyp:tok:theater
26,hyp:tok:sides
27,pre:tok:snowboarding
28,pre:tok:enter
29,hyp:tok:last
30,hyp:tok:tie
31,hyp:tok:her
32,hyp:tok:lighting
33,hyp:tok:sunny
34,pre:tok:courtyard
35,hyp:tok:furniture
36,hyp:tok:rival
37,pre:tok:raises
38,hyp:tok:pots
39,pre:tok:straight
40,pre:tok:wife
41,hyp:tok:hiding
42,hyp:tok:station
43,hyp:tok:half
44,pre:tok:individual
45,hyp:tok:motor
46,pre:tok:uniformed
47,hyp:tok:son
48,pre:tok:performs
49,hyp:tok:drinking
50,pre:tok:asian
51,pre:tok:seat
52,hyp:tok:jet
53,pre:tok:surfing
54,pre:tok:hangs
55,pre:tok:low
56,pre:tok:fallen
57,hyp:tok:finished
58,hyp:tok:bottom
59,hyp:tok:female
60,pre:tok:steel
61,pre:tok:flowered
62,pre:tok:building
63,hyp:tok:police
64,pre:tok:lunch
65,pre:tok:hot
66,hyp:tok:clean
67,pre:tok:business
68,hyp:tok:holiday
69,hyp:tok:fan
70,hyp:tok:make
71,hyp:tok:colorful
72,hyp:tok:garage
73,hyp:tok:soldier
74,pre:tok:looking
75,hyp:tok:screaming
76,pre:tok:design
77,hyp:tok:terrain
78,hyp:tok:bass
79,pre:tok:checkered
80,pre:tok:nap
81,pre:tok:goat
82,hyp:tok:walk
83,hyp:tok:bathrobe
84,hyp:tok:skateboarder
85,pre:tok:motorcyclists
86,hyp:tok:outfits
87,pre:tok:compete
88,pre:tok:couple
89,pre:tok:game
90,hyp:tok:buys
91,pre:tok:scale
92,pre:tok:smile
93,pre:tok:works
94,pre:tok:curb
95,pre:tok:puts
96,hyp:tok:trumpet
97,hyp:tok:golden
98,hyp:tok:booth
99,hyp:tok:softball
100,hyp:tok:identical
101,pre:tok:european
102,pre:tok:put
103,hyp:tok:dogs
104,pre:tok:folding
105,pre:tok:liquid
