,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:turns,pre:tok:mall,pre:tok:play,hyp:tok:mower
1,pre:tok:native,hyp:tok:conversation,pre:tok:moon,pre:tok:only
2,hyp:tok:green,hyp:tok:interested,hyp:tok:bikers,hyp:tok:story
3,hyp:tok:ft,hyp:tok:green,pre:tok:bicyclists,pre:tok:older
4,hyp:tok:muddy,pre:tok:lane,hyp:tok:happy,pre:tok:gym
5,pre:tok:lane,pre:tok:-,hyp:tok:dancing,hyp:tok:jumping
6,hyp:tok:appears,hyp:tok:appears,pre:tok:blanket,pre:tok:preschool
7,pre:tok:low,pre:tok:golden,pre:tok:older,pre:tok:parade
8,pre:tok:owner,pre:tok:beach,pre:tok:rooftop,pre:tok:glasses
9,hyp:tok:science,hyp:tok:group,hyp:tok:sleep,pre:tok:lunch
10,hyp:tok:groom,pre:tok:surf,hyp:tok:chasing,hyp:tok:other
11,hyp:tok:soap,hyp:tok:groom,pre:tok:fetch,hyp:tok:year
12,hyp:tok:kitchen,pre:tok:tea,hyp:tok:surrounded,pre:tok:runner
13,pre:tok:army,hyp:tok:grassy,pre:tok:cigarettes,hyp:tok:walkway
14,hyp:tok:protecting,pre:tok:structure,pre:tok:napping,pre:tok:vehicles
15,pre:tok:motor,hyp:tok:touching,pre:tok:flowers,pre:tok:tips
16,hyp:tok:space,pre:tok:flipping,hyp:tok:bride,hyp:tok:bright
17,pre:tok:cute,pre:tok:married,pre:tok:casual,pre:tok:water
18,hyp:tok:fire,pre:tok:city,hyp:tok:while,hyp:tok:yarn
19,pre:tok:activity,pre:tok:playground,hyp:tok:speaking,pre:tok:airport
20,pre:tok:motorcyclists,pre:tok:motorcyclists,hyp:tok:ring,hyp:tok:acoustic
21,pre:tok:cafe,hyp:tok:lamp,hyp:tok:edge,hyp:tok:group
22,hyp:tok:image,hyp:tok:dingy,pre:tok:!,hyp:tok:paddles
23,hyp:tok:lamp,hyp:tok:milk,hyp:tok:marathon,pre:tok:golfer
24,hyp:tok:pitcher,hyp:tok:teen,pre:tok:funny,hyp:tok:swing
25,pre:tok:karate,hyp:tok:shooting,hyp:tok:yarn,pre:tok:pulled
26,pre:tok:driving,hyp:tok:heels,hyp:tok:acoustic,hyp:tok:slam
27,pre:tok:ready,hyp:tok:wet,hyp:tok:runs,pre:tok:birthday
28,hyp:tok:throws,hyp:tok:painting,pre:tok:heels,hyp:tok:sits
29,hyp:tok:bottles,hyp:tok:wife,pre:tok:set,hyp:tok:stream
30,hyp:tok:pretending,hyp:tok:bowling,pre:tok:surf,hyp:tok:deer
31,hyp:tok:passed,hyp:tok:talk,hyp:tok:groom,pre:tok:tea
32,pre:tok:gathering,hyp:tok:protesting,pre:tok:golfer,hyp:tok:fixing
33,hyp:tok:shirt,hyp:tok:outer,hyp:tok:rowing,pre:tok:skyline
34,pre:tok:painted,hyp:tok:costume,pre:tok:peace,hyp:tok:grassy
35,pre:tok:tank,pre:tok:marathon,hyp:tok:young,pre:tok:dark
36,hyp:tok:trip,hyp:tok:barbecue,pre:tok:traveling,pre:tok:laboratory
37,hyp:tok:speed,hyp:tok:5,hyp:tok:relaxing,hyp:tok:different
38,hyp:tok:team,hyp:tok:trail,hyp:tok:kitchen,hyp:tok:cool
39,pre:tok:giant,hyp:tok:paved,hyp:tok:woods,pre:tok:live
40,pre:tok:everywhere,hyp:tok:jogging,pre:tok:knife,pre:tok:remote
41,pre:tok:struggling,hyp:tok:bystanders,pre:tok:army,pre:tok:yoga
42,hyp:tok:pick,pre:tok:below,pre:tok:live,hyp:tok:fighting
43,hyp:tok:skirts,hyp:tok:straight,pre:tok:late,pre:tok:running
44,hyp:tok:boys,pre:tok:strike,pre:tok:pipe,hyp:tok:chinese
45,pre:tok:road,hyp:tok:angry,hyp:tok:pets,pre:tok:helps
46,hyp:tok:spray,pre:tok:dressed,hyp:tok:whilst,hyp:tok:their
47,hyp:tok:truck,pre:tok:pet,hyp:tok:tennis,hyp:tok:push
48,hyp:tok:last,pre:tok:see,hyp:tok:international,hyp:tok:skater
49,pre:tok:rowboat,hyp:tok:rolled,pre:tok:baby,hyp:tok:bathtub
50,hyp:tok:plane,pre:tok:relax,hyp:tok:buggy,hyp:tok:wrapped
51,pre:tok:hangs,pre:tok:n't,hyp:tok:mountain,hyp:tok:bus
52,pre:tok:looking,hyp:tok:books,pre:tok:carriage,hyp:tok:mask
