unit,Cluster1,Cluster2,Cluster3,Cluster4
6,0.1111111111111111,0.6666666666666666,0.0,0.42857142857142855
8,0.0,0.1111111111111111,0.1111111111111111,0.0
12,0.0,,,
15,0.0,0.0,0.1111111111111111,0.25
16,0.25,0.42857142857142855,0.1111111111111111,0.25
17,0.0,0.0,0.0,
19,0.0,0.25,0.0,0.1111111111111111
21,0.0,0.0,,
22,0.0,0.0,0.0,0.0
28,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0
31,0.0,0.16666666666666666,,
35,1.0,,,
37,0.0,0.1111111111111111,0.0,
38,0.0,,,
39,0.14285714285714285,0.14285714285714285,0.0,
40,0.125,0.0,,
41,0.0,0.1111111111111111,0.0,
45,0.0,0.1111111111111111,0.0,
50,0.0,,,
52,0.0,0.1111111111111111,0.0,
59,0.14285714285714285,0.2,,
61,0.1111111111111111,0.0,0.0,
63,0.0,0.0,,
65,0.0,0.0,0.0,0.16666666666666666
67,0.0,0.0,0.0,
70,0.0,0.25,0.25,0.1111111111111111
71,0.0,0.25,0.1111111111111111,0.0
72,0.0,,,
76,0.0,0.0,,
77,0.0,0.1111111111111111,0.0,
83,0.0,0.0,0.0,
84,0.0,,,
85,0.16666666666666666,0.0,0.0,
86,,0.0,,
87,0.0,0.0,0.0,
89,0.25,0.1111111111111111,0.1111111111111111,0.42857142857142855
92,0.0,,,
98,0.0,0.25,0.1111111111111111,0.0
99,0.25,0.1111111111111111,0.0,0.0
106,0.0,0.0,0.0,
109,0.0,,,
113,0.0,0.0,,
128,0.1111111111111111,0.0,0.25,0.42857142857142855
129,0.0,0.25,0.1111111111111111,0.0
132,0.0,0.0,,
133,0.1111111111111111,0.42857142857142855,0.1111111111111111,0.1111111111111111
134,0.0,0.1111111111111111,0.1111111111111111,0.25
136,0.0,,,
137,0.0,0.0,0.0,1.0
139,0.0,0.0,0.0,0.0
140,0.0,0.125,0.0,0.0
142,,0.0,,
150,0.0,,,
151,0.0,0.42857142857142855,0.0,
153,0.0,,,
156,0.0,0.0,,
157,0.0,0.1111111111111111,0.0,0.0
163,0.0,,,1.0
165,0.0,,,
170,0.0,0.0,0.0,
171,0.0,0.0,,
173,0.0,0.1111111111111111,0.25,0.1111111111111111
176,0.1111111111111111,0.0,,
179,0.0,0.0,,
181,0.0,0.1111111111111111,0.4,
183,0.0,0.0,,
185,0.16666666666666666,0.0,,
191,0.16666666666666666,0.0,,
192,0.0,0.0,,
197,0.25,0.1111111111111111,0.0,1.0
198,0.0,0.0,,
203,0.25,0.0,0.1111111111111111,0.0
204,0.0,0.1111111111111111,0.1111111111111111,0.0
209,0.0,0.0,,
213,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
215,0.0,0.0,,
224,0.0,,,
225,0.0,,,
226,0.5,,,
230,0.0,1.0,,
231,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
232,0.1111111111111111,0.25,0.14285714285714285,0.0
234,0.0,0.0,0.0,0.0
238,0.1111111111111111,0.0,0.1111111111111111,0.0
239,0.0,0.1111111111111111,0.0,0.0
241,0.0,0.0,,
244,0.0,0.3333333333333333,,
245,0.0,,,
247,0.1111111111111111,0.0,,
248,0.0,0.1111111111111111,0.0,0.25
251,0.14285714285714285,0.2,,
253,0.0,0.0,0.0,0.0
254,0.0,0.0,0.0,0.16666666666666666
257,0.1111111111111111,0.25,0.1111111111111111,0.25
260,0.2,0.0,,
261,0.0,0.0,0.1111111111111111,0.42857142857142855
262,0.0,0.1111111111111111,0.0,0.1111111111111111
265,0.0,0.25,0.1111111111111111,0.25
267,0.0,0.0,,
270,0.1111111111111111,0.0,0.0,0.0
275,0.0,0.0,0.0,
280,0.1111111111111111,0.42857142857142855,0.0,0.1111111111111111
283,0.0,0.25,0.1111111111111111,0.0
284,0.0,0.42857142857142855,0.1111111111111111,0.0
285,0.0,0.0,,0.0
287,0.0,0.1111111111111111,0.0,
288,0.0,0.0,0.0,0.0
290,0.25,0.1111111111111111,0.0,
292,0.1111111111111111,0.0,0.0,0.0
293,0.0,0.0,0.0,
294,0.0,0.0,0.0,0.0
296,0.0,,,
297,0.1111111111111111,0.0,0.0,
298,0.0,0.0,,
302,0.1111111111111111,0.25,0.25,0.0
304,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
307,0.1111111111111111,0.0,,
308,0.0,0.0,0.0,
309,0.1111111111111111,0.3333333333333333,,
312,0.0,0.0,,
316,0.0,0.0,0.1111111111111111,0.0
320,0.0,0.1111111111111111,0.0,
324,0.0,,,
326,0.0,,,
328,0.1111111111111111,0.25,0.1111111111111111,0.16666666666666666
332,0.0,0.0,,
333,0.0,,,
336,0.0,0.0,0.1111111111111111,0.0
339,0.0,,,
341,0.16666666666666666,,,
346,0.1111111111111111,0.25,0.14285714285714285,
348,0.125,,,
349,0.0,0.0,,
359,0.0,0.14285714285714285,,
362,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
365,0.0,,,
367,0.0,0.0,0.0,0.0
368,0.1111111111111111,0.25,0.25,0.1111111111111111
369,0.0,0.0,,
371,,0.0,,
375,0.1111111111111111,0.25,0.1111111111111111,0.1111111111111111
376,0.0,0.25,,
377,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0
378,0.0,0.25,0.2857142857142857,
380,0.1111111111111111,0.1111111111111111,0.0,0.0
382,0.0,0.42857142857142855,0.25,0.42857142857142855
385,0.1111111111111111,0.42857142857142855,0.0,0.0
386,0.1111111111111111,0.42857142857142855,0.0,0.0
387,0.0,0.3333333333333333,,
389,0.0,0.0,0.0,
390,0.0,0.42857142857142855,0.1111111111111111,0.42857142857142855
391,0.0,0.0,0.25,0.25
392,0.1111111111111111,0.0,0.0,0.0
395,0.0,0.0,0.0,
399,0.25,0.0,0.0,
400,0.0,0.0,0.25,0.0
403,0.0,0.0,,
404,0.0,0.1111111111111111,0.0,
410,0.1111111111111111,0.42857142857142855,0.1111111111111111,0.25
411,0.1111111111111111,0.1111111111111111,0.0,
412,0.0,0.0,,0.2
413,0.0,0.6666666666666666,0.0,0.0
416,0.0,0.25,0.25,0.25
419,0.0,,,
420,0.0,0.14285714285714285,,
423,0.0,0.0,0.0,
424,0.0,0.0,0.0,
427,0.0,,,
429,0.0,0.0,0.0,0.0
431,0.0,0.0,,
434,0.0,0.0,,
435,0.1111111111111111,0.0,0.0,0.0
436,0.0,0.1111111111111111,0.0,0.0
437,0.0,0.0,0.5,
438,0.0,,,
445,0.0,0.0,1.0,
448,0.1111111111111111,0.1111111111111111,0.3333333333333333,
450,0.0,0.16666666666666666,0.0,
454,0.0,0.0,0.0,0.0
457,0.0,0.0,0.1111111111111111,0.0
458,0.0,0.42857142857142855,0.0,0.0
460,0.3333333333333333,,,
462,0.0,0.0,,
463,0.0,0.1111111111111111,0.0,0.0
466,0.0,0.25,0.0,0.0
467,0.0,,,
470,1.0,0.0,,
473,0.25,0.42857142857142855,0.25,0.0
476,0.0,0.0,,
478,0.1111111111111111,0.1111111111111111,0.0,
480,0.0,0.42857142857142855,0.25,0.42857142857142855
483,0.1111111111111111,0.1111111111111111,0.0,0.0
486,0.0,,,
487,0.0,0.0,0.0,0.0
491,0.0,0.1111111111111111,0.1111111111111111,0.0
495,0.0,0.0,0.0,0.0
497,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
498,0.0,0.14285714285714285,0.0,0.0
499,0.0,0.0,,
500,0.0,0.1111111111111111,0.0,0.0
501,0.0,0.1111111111111111,0.0,0.0
502,0.1111111111111111,0.1111111111111111,0.0,0.0
506,0.0,0.0,0.0,0.0
507,0.3333333333333333,0.0,,
510,0.0,0.0,0.0,
511,0.0,,,
512,0.1111111111111111,0.25,0.0,0.0
514,0.0,0.1111111111111111,0.0,0.25
515,0.0,0.25,0.0,1.0
516,0.0,0.0,,
517,,0.0,,
522,0.1111111111111111,0.1111111111111111,0.0,
523,0.0,0.1111111111111111,0.0,0.1111111111111111
524,0.0,0.0,0.0,0.0
525,0.0,0.0,,
527,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0
528,0.0,0.0,0.25,0.25
533,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666
534,0.0,0.1111111111111111,0.0,
536,0.25,0.6666666666666666,0.1111111111111111,0.1111111111111111
537,0.1111111111111111,0.25,0.1111111111111111,0.1111111111111111
540,0.0,0.25,0.0,0.0
543,0.0,0.0,,
549,0.0,0.0,0.0,0.25
553,0.0,0.25,0.0,0.0
557,0.0,0.0,0.42857142857142855,0.25
563,0.0,,,
565,0.0,0.0,0.0,
566,0.0,0.1111111111111111,0.1111111111111111,1.0
568,0.0,,,
572,0.1111111111111111,0.0,0.0,
574,,0.0,,
575,0.1111111111111111,0.0,0.0,0.1111111111111111
577,0.0,0.25,0.0,0.0
578,0.0,0.1111111111111111,0.25,0.1111111111111111
579,0.0,0.0,,
582,0.0,,,
583,0.0,,,
584,0.25,0.1111111111111111,0.25,0.1111111111111111
588,0.0,0.0,0.0,
590,0.1111111111111111,0.0,0.0,
593,0.1111111111111111,0.0,0.0,0.0
598,0.0,0.0,,
599,0.0,,,
601,0.0,0.0,,
602,0.125,0.0,,
604,0.0,0.25,0.0,0.0
605,0.0,0.0,,
606,0.0,0.1111111111111111,0.0,0.1111111111111111
609,0.0,0.0,0.3333333333333333,
614,0.0,0.0,0.0,
615,0.0,0.25,0.1111111111111111,0.0
618,0.1111111111111111,0.1111111111111111,0.14285714285714285,1.0
619,0.1111111111111111,0.1111111111111111,0.25,0.25
620,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.25
623,0.1111111111111111,0.25,0.25,0.42857142857142855
631,0.0,0.0,,
636,0.0,0.1111111111111111,0.1111111111111111,0.125
640,0.0,0.0,0.0,
643,0.25,0.1111111111111111,0.0,
647,0.125,0.0,,
652,0.125,0.0,0.0,
656,0.0,0.0,0.14285714285714285,
658,0.1111111111111111,0.0,0.3333333333333333,
662,0.25,0.42857142857142855,0.1111111111111111,0.1111111111111111
669,0.0,0.0,,
672,0.0,0.0,0.0,0.0
674,0.0,0.0,,
675,0.0,0.0,,
676,0.0,0.0,0.1111111111111111,0.16666666666666666
679,0.1111111111111111,0.16666666666666666,,
685,0.0,0.1111111111111111,0.0,0.1111111111111111
689,0.1111111111111111,0.25,0.42857142857142855,0.42857142857142855
691,0.125,0.1111111111111111,0.0,0.125
692,0.0,,,
695,0.0,,,
698,1.0,,,
699,0.25,0.42857142857142855,0.1111111111111111,0.25
700,0.0,0.0,,0.0
703,0.0,0.0,0.0,0.125
705,0.0,0.0,0.0,
710,0.0,0.0,,
715,0.0,0.1111111111111111,0.0,
716,0.0,0.16666666666666666,0.0,
719,0.0,0.0,,
723,0.0,0.0,,
725,0.0,0.0,0.0,0.0
729,0.25,0.0,0.0,0.0
732,0.0,0.0,0.0,
733,0.0,0.1111111111111111,0.0,
738,0.0,0.25,0.1111111111111111,0.0
741,0.1111111111111111,0.0,0.1111111111111111,0.25
742,0.0,0.0,0.25,0.0
743,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0
744,0.25,0.0,0.25,0.1111111111111111
745,0.0,0.0,,
750,0.0,0.0,0.16666666666666666,
752,0.1111111111111111,0.0,0.0,
763,0.0,,,
765,0.0,0.0,0.42857142857142855,0.25
766,0.3333333333333333,,,
771,0.0,0.125,0.0,
773,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
775,0.0,0.1111111111111111,0.0,0.0
776,0.0,0.0,,
778,0.0,,,
782,0.25,0.25,0.25,0.42857142857142855
787,0.0,0.25,0.1111111111111111,0.1111111111111111
790,0.0,,,
791,0.0,,,
792,,,1.0,
793,0.0,0.1111111111111111,0.0,0.0
794,0.0,,,
795,,0.3333333333333333,,
796,0.0,0.1111111111111111,0.0,0.25
798,0.1111111111111111,0.25,0.42857142857142855,0.25
800,0.0,0.0,,
802,0.0,,,
805,0.1111111111111111,0.0,0.16666666666666666,
813,0.0,0.0,0.0,0.0
816,0.0,,,
820,0.0,,,
821,0.0,0.0,0.0,0.1111111111111111
833,0.0,0.0,0.6666666666666666,0.6666666666666666
837,0.16666666666666666,0.0,,
840,0.0,,,
842,0.0,0.0,0.16666666666666666,
847,0.0,0.0,,
849,0.0,0.16666666666666666,,
850,0.1111111111111111,0.0,0.0,0.25
854,0.0,0.1111111111111111,0.0,
858,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
859,0.0,0.1111111111111111,0.0,0.2
861,0.0,0.16666666666666666,,
864,0.0,0.25,0.25,0.0
865,0.0,0.0,0.0,0.0
870,0.0,0.1111111111111111,0.0,0.0
873,,0.0,,
874,0.1111111111111111,0.1111111111111111,0.0,
875,0.0,0.0,,
882,0.42857142857142855,0.16666666666666666,0.0,0.0
885,0.0,0.0,0.0,0.0
886,0.1111111111111111,0.0,0.0,0.0
892,0.125,0.0,,
895,0.0,0.0,,
905,0.0,0.0,0.1111111111111111,0.0
907,0.1111111111111111,0.0,,
908,0.1111111111111111,0.25,0.0,0.0
913,0.0,0.0,0.0,
917,0.0,0.0,0.0,
919,0.0,0.25,,
922,0.0,0.0,0.0,
924,0.0,0.25,0.1111111111111111,0.14285714285714285
925,0.0,0.2,,
926,0.0,0.0,,
932,0.0,0.25,0.42857142857142855,0.25
934,0.0,0.1111111111111111,0.0,
935,1.0,,,
936,0.1111111111111111,0.1111111111111111,0.125,
939,0.25,0.25,0.25,0.0
941,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
943,0.0,0.0,,
945,,0.0,,
947,0.0,,,
949,0.0,0.0,0.0,
957,0.0,0.0,0.0,
959,0.0,0.0,0.1111111111111111,0.0
960,0.0,,,
961,0.0,,,
962,0.0,,,
963,0.0,0.25,0.1111111111111111,0.1111111111111111
970,0.0,0.25,0.25,0.1111111111111111
972,0.0,0.0,,
977,0.1111111111111111,0.25,0.1111111111111111,0.1111111111111111
979,0.1111111111111111,0.25,0.25,
980,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
982,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.42857142857142855
983,0.0,0.1111111111111111,0.25,0.1111111111111111
986,0.1111111111111111,0.25,0.125,0.3333333333333333
990,0.0,0.42857142857142855,0.1111111111111111,0.0
998,0.0,0.25,0.75,
999,0.0,,,
1000,0.0,0.1111111111111111,0.0,0.1111111111111111
1007,0.0,0.0,0.1111111111111111,0.0
1008,0.0,0.16666666666666666,,
1020,0.0,0.25,0.1111111111111111,0.1111111111111111
1021,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
1023,0.0,0.6666666666666666,0.6666666666666666,0.1111111111111111
