unit,best_name,best_iou
6,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:one)) OR hyp:tok:they) OR pre:tok:stage),0.1100187265917603
8,((((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:married) OR hyp:tok:friends),0.10208643815201192
15,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:sleeps) OR hyp:tok:sit) AND (NOT hyp:tok:people)),0.09204368174726989
16,((((oth:overlap:overlap25 OR pre:tok:wearing) OR hyp:tok:to) AND (NOT hyp:tok:wearing)) AND (NOT hyp:tok:red)),0.14980253302464933
70,((((hyp:tok:sitting OR hyp:tok:sleeping) OR pre:tok:soccer) OR hyp:tok:cat) AND (NOT pre:tok:sitting)),0.08396946564885496
71,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:on) AND (NOT hyp:tok:to)) AND (NOT hyp:tok:for)),0.14860681114551083
89,((((NOT oth:overlap:overlap50) AND (hyp:tok:man OR pre:tok:and)) OR pre:tok:sitting) AND (NOT hyp:tok:sitting)),0.10561914672216441
98,((((hyp:tok:playing OR pre:tok:walk) OR hyp:tok:field) OR hyp:tok:off) OR hyp:tok:bathroom),0.07031963470319634
99,((((hyp:tok:is AND pre:tok:yellow) OR hyp:tok:mountain) OR pre:tok:dances) AND oth:overlap:overlap25),0.05993690851735016
128,((((NOT oth:overlap:overlap50) AND (pre:tok:in OR pre:tok:to)) AND (NOT hyp:tok:outside)) AND (NOT pre:tok:park)),0.11366245694603903
133,((((hyp:tok:coffee OR hyp:tok:sleeping) OR pre:tok:grassy) OR pre:tok:trunks) OR hyp:tok:hotel),0.09433962264150944
134,((((hyp:tok:in OR oth:overlap:overlap50) OR hyp:tok:on) OR pre:tok:park) AND (NOT pre:tok:and)),0.08471177944862156
157,((((hyp:tok:sad OR hyp:tok:while) OR hyp:tok:day) OR hyp:tok:brother) OR hyp:tok:date),0.07979626485568761
173,((((NOT pre:tok:his) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:standing) AND (NOT oth:overlap:overlap75)),0.08830328247803976
203,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:on)) OR pre:tok:plays) OR hyp:tok:dinner),0.08103521425540942
257,(((((NOT pre:tok:to) AND oth:overlap:overlap75) OR hyp:tok:friend) OR hyp:tok:walked) AND (NOT hyp:tok:young)),0.08585247883917775
265,(((((NOT hyp:tok:in) AND oth:overlap:overlap25) OR hyp:tok:people) AND (NOT hyp:tok:to)) AND (NOT hyp:tok:for)),0.11979940564635959
270,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:in)) OR hyp:tok:woman) AND (NOT oth:overlap:overlap75)),0.11921458625525946
280,((((NOT hyp:tok:to) AND (hyp:tok:are OR oth:overlap:overlap25)) AND (NOT hyp:tok:for)) OR pre:tok:for),0.1512222853894258
283,((((NOT pre:tok:is) AND (hyp:tok:and OR oth:overlap:overlap75)) OR hyp:tok:home) OR hyp:tok:after),0.09408866995073892
