unit,best_name,best_iou
0,((((NOT oth:overlap:overlap50) AND (pre:tok:in OR pre:tok:man)) AND (NOT pre:tok:as)) OR pre:tok:her),0.15898345153664303
6,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:and)) AND (NOT hyp:tok:people)) OR pre:tok:dress),0.12914285714285714
8,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:mother) OR hyp:tok:friends) OR hyp:tok:date),0.12176470588235294
15,((((hyp:tok:eating OR hyp:tok:sitting) OR hyp:tok:sleeping) AND (NOT pre:tok:sitting)) OR hyp:tok:boat),0.12173913043478261
16,((((NOT hyp:tok:wearing) AND (hyp:tok:to OR oth:overlap:overlap25)) AND (NOT hyp:tok:black)) OR pre:tok:by),0.19584611095623083
70,(((((NOT oth:overlap:overlap75) AND hyp:tok:in) OR hyp:tok:sleeping) OR hyp:tok:nobody) OR hyp:tok:no),0.09931170108161258
71,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:on) AND (NOT hyp:tok:to)) AND (NOT hyp:tok:for)),0.18040225656119696
89,((((NOT oth:overlap:overlap25) AND (pre:tok:in OR pre:tok:on)) OR hyp:tok:for) OR pre:tok:sitting),0.13275061458617865
98,((((NOT oth:overlap:overlap75) AND (hyp:tok:in OR hyp:tok:playing)) OR pre:tok:store) AND (NOT hyp:tok:there)),0.06966403162055336
99,((((oth:overlap:overlap75 OR pre:tok:preparing) AND pre:tok:in) AND (NOT pre:tok:girl)) AND (NOT hyp:tok:people)),0.08
128,((((NOT oth:overlap:overlap50) AND (hyp:tok:man OR pre:tok:in)) OR hyp:tok:eating) AND (NOT hyp:tok:outside)),0.15381364884851045
133,((((NOT oth:overlap:overlap50) AND (hyp:tok:at OR hyp:tok:her)) OR hyp:tok:inside) OR hyp:tok:bed),0.0918918918918919
134,(((((NOT hyp:tok:there) AND oth:overlap:overlap25) AND (NOT pre:tok:and)) OR hyp:tok:basketball) OR hyp:tok:white),0.10610573343261355
157,((((hyp:tok:for OR hyp:tok:while) OR hyp:tok:he) OR hyp:tok:asleep) OR hyp:tok:after),0.08347529812606473
173,((((NOT oth:overlap:overlap75) AND (hyp:tok:in OR pre:tok:sitting)) OR pre:tok:girl) OR pre:tok:t),0.10789049919484701
203,((((hyp:tok:in OR hyp:tok:on) OR pre:tok:water) AND (NOT oth:overlap:overlap50)) OR hyp:tok:building),0.08714683645045762
257,((((NOT pre:tok:young) AND (hyp:tok:their OR oth:overlap:overlap75)) AND (NOT pre:tok:blue)) OR hyp:tok:friend),0.12080894092602448
265,(((((NOT hyp:tok:in) AND oth:overlap:overlap25) OR oth:overlap:overlap75) AND (NOT hyp:tok:her)) AND (NOT hyp:tok:his)),0.15527168046059733
270,((((NOT oth:overlap:overlap50) AND (hyp:tok:are OR hyp:tok:is)) OR hyp:tok:was) AND (NOT hyp:tok:there)),0.15002038320423972
280,((((NOT hyp:tok:for) AND (hyp:tok:people OR oth:overlap:overlap25)) OR pre:tok:to) AND (NOT hyp:tok:to)),0.20757363253856942
283,((((hyp:tok:for OR oth:overlap:overlap75) OR hyp:tok:to) AND (NOT pre:tok:white)) OR hyp:tok:competition),0.11261730969760167
284,((((NOT hyp:tok:in) AND (hyp:tok:outdoors OR oth:overlap:overlap50)) OR hyp:tok:there) AND (NOT hyp:tok:to)),0.09110473457675754
302,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:his) OR hyp:tok:street) OR hyp:tok:after),0.12406639004149378
362,((((hyp:tok:near OR hyp:tok:outside) OR hyp:tok:outdoors) OR hyp:tok:has) OR hyp:tok:music),0.11834319526627218
375,((((NOT pre:tok:street) AND (oth:overlap:overlap75 OR pre:tok:rest)) OR hyp:tok:one) OR hyp:tok:next),0.11642512077294687
382,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:with) AND (NOT hyp:tok:there)) OR hyp:tok:to),0.18528177797936274
386,((((NOT pre:tok:young) AND (hyp:tok:nobody OR oth:overlap:overlap75)) AND (NOT pre:tok:black)) AND (NOT hyp:tok:playing)),0.1033810143042913
390,((((NOT hyp:tok:outside) AND (hyp:tok:is OR oth:overlap:overlap25)) OR hyp:tok:to) OR hyp:tok:at),0.1814278704612365
392,((((NOT hyp:tok:for) AND (hyp:tok:is OR oth:overlap:overlap25)) OR pre:tok:his) OR pre:tok:white),0.1753152279340446
410,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:is)) AND (NOT pre:tok:his)) OR pre:tok:runs),0.11052353252247488
413,((((NOT oth:overlap:overlap50) AND (hyp:tok:playing OR pre:tok:at)) OR hyp:tok:swimming) OR hyp:tok:alone),0.06976744186046512
416,((((hyp:tok:sits OR hyp:tok:sleeping) OR hyp:tok:car) OR hyp:tok:cat) OR hyp:tok:television),0.08408408408408409
457,((((oth:overlap:overlap25 OR pre:tok:to) OR pre:tok:with) AND (NOT hyp:tok:for)) AND (NOT hyp:tok:her)),0.1606773526370217
473,((((hyp:tok:is OR oth:overlap:overlap25) OR hyp:tok:are) AND (NOT hyp:tok:sitting)) AND (NOT hyp:tok:sleeping)),0.25694606584169977
502,((((hyp:tok:for OR pre:tok:riding) OR hyp:tok:road) OR pre:tok:jumps) OR hyp:tok:dancing),0.07547169811320754
