cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
3,0,((((hyp:tok:eating OR hyp:tok:sleeping) OR hyp:tok:alone) OR hyp:tok:nobody) OR hyp:tok:couch),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.14554579673776663,5,-0.026803894,-0.017842982,0.02657936
3,6,((((hyp:tok:professional OR hyp:tok:tall) OR pre:tok:cherry) OR pre:tok:few) OR pre:tok:blocks),((((hyp OR hyp) OR pre) OR pre) OR pre),((((hyp:tok OR hyp:tok) OR pre:tok) OR pre:tok) OR pre:tok),0.10714285714285714,5,-0.06330322,0.022027269,0.009290368
3,8,((((hyp:tok:show OR hyp:tok:tall) OR hyp:tok:owner) OR hyp:tok:favorite) OR hyp:tok:wedding),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.1324200913242009,5,-0.015419302,0.023419263,0.00020886032
3,15,(((((NOT oth:overlap:overlap50) AND hyp:tok:sitting) AND pre:tok:people) OR hyp:tok:chair) AND (NOT oth:overlap:overlap50)),(((((NOT oth) AND hyp) AND pre) OR hyp) AND (NOT oth)),(((((NOT oth:overlap) AND hyp:tok) AND pre:tok) OR hyp:tok) AND (NOT oth:overlap)),0.2,7,-0.083393574,-0.05854521,0.086006
3,16,((((hyp:tok:for OR hyp:tok:outside) OR hyp:tok:tall) AND (NOT pre:tok:people)) OR hyp:tok:outdoors),((((hyp OR hyp) OR hyp) AND (NOT pre)) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)) OR hyp:tok),0.12578616352201258,6,0.021715952,0.010245283,-0.042337667
3,70,((((hyp:tok:nobody OR hyp:tok:swimming) OR hyp:tok:nothing) AND (NOT pre:tok:water)) OR hyp:tok:summer),((((hyp OR hyp) OR hyp) AND (NOT pre)) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)) OR hyp:tok),0.2350230414746544,6,-0.09529671,-0.019174349,0.051407162
3,71,((((hyp:tok:driving OR hyp:tok:sleeping) OR hyp:tok:nobody) OR hyp:tok:alone) OR hyp:tok:tv),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.1130030959752322,5,0.0054669827,-0.04855686,0.022421855
3,89,((((NOT oth:overlap:overlap25) AND (hyp:tok:for OR hyp:tok:tall)) OR pre:tok:bench) AND (NOT hyp:tok:on)),((((NOT oth) AND (hyp OR hyp)) OR pre) AND (NOT hyp)),((((NOT oth:overlap) AND (hyp:tok OR hyp:tok)) OR pre:tok) AND (NOT hyp:tok)),0.10323886639676114,7,-0.05423548,0.0146743525,0.02409809
3,98,(((((NOT pre:tok:water) AND hyp:tok:swimming) OR hyp:tok:duck) AND (NOT hyp:tok:with)) AND (NOT pre:tok:pool)),(((((NOT pre) AND hyp) OR hyp) AND (NOT hyp)) AND (NOT pre)),(((((NOT pre:tok) AND hyp:tok) OR hyp:tok) AND (NOT hyp:tok)) AND (NOT pre:tok)),0.171875,8,-0.099489525,-0.034887858,0.06074927
3,99,((((pre:tok:helmet AND pre:tok:white) OR hyp:tok:includes) OR hyp:tok:pitcher) OR hyp:tok:tiles),((((pre AND pre) OR hyp) OR hyp) OR hyp),((((pre:tok AND pre:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.10256410256410256,5,0.04324872,-0.028938415,-0.02054224
